"","nct_id","phase","enrollment","number_of_arms","has_dmc","Drug_Class","allocation","intervention_model","primary_purpose","masking","subject_masked","caregiver_masked","investigator_masked","outcomes_assessor_masked","Experimental","Control","Other","n_countries","lead_agency","n_collaborator","us_international","intervention_type","Disease_Group","duration","Therapy","Pivotal","SPA","Orphan","Breakthrough","RMAT","QIDP","Fast_Track","n_primary_endpoint","n_secondary_endpoint"
"2212","NCT02396316","Phase 3",3.98898404656427,"Less than or equal to three","False","Biologic","Randomized","Parallel Assignment","Treatment","Triple or quadruple","TRUE","FALSE","TRUE","TRUE","0","0","0",0,"Industry",0.693147180559945,"International only","Drug","Ophthalmology",523,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2213","NCT02396212","Phase 3",2.94443897916644,"Less than or equal to three","False","Biologic","Other","Single Group Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","0","0","0",0,"Industry",0,"International only","Biological","Autoimmune/immunology",1182,"Monotherapy","N","N","Yes","No","No","No","Yes","1-3","1-2"
"2214","NCT02395978","Phase 2",4.0943445622221,"Less than or equal to three","False","NME","Randomized","Parallel Assignment","Treatment","Triple or quadruple","TRUE","TRUE","TRUE","FALSE","1","0","0",0.693147180559945,"Industry",0,"Both","Drug","Psychiatry",1644,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2215","NCT02394561","Phase 3",6.07304453410041,"Less than or equal to three","True","Biologic","Other","Parallel Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","1","0","0",0,"Industry",0,"International only","Biological","Autoimmune/immunology",790,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2216","NCT02392559","Phase 3",5.06259503302697,"Less than or equal to three","True","Biologic","Randomized","Parallel Assignment","Treatment","Triple or quadruple","TRUE","TRUE","TRUE","FALSE","0","0","0",3.29583686600433,"Industry",0,"Both","Drug","Cardiovascular",1341,"Monotherapy","N","N","Yes","No","No","No","No","1-3","1-2"
"2217","NCT02392507","Phase 2",3.98898404656427,"Less than or equal to three","False","Biologic","Other","Single Group Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","0","0","0",1.38629436111989,"Industry",0.693147180559945,"Both","Drug","Oncology",1486,"Combination","N","N","Yes","No","No","No","Yes","1-3","1-2"
"2218","NCT02392234","Phase 3",5.51342874616498,"Less than or equal to three","True","NME","Randomized","Crossover Assignment","Treatment","Triple or quadruple","TRUE","TRUE","TRUE","FALSE","1","0","0",2.39789527279837,"Industry",0,"Both","Drug","Respiratory",700,"Combination","Y","N","Yes","Yes","No","No","No","1-3","1-2"
"2219","NCT02391805","Phase 2",3.43398720448515,"More than three","False","NME","Randomized","Parallel Assignment","Treatment","Double","TRUE","FALSE","TRUE","FALSE","1","1","0",1.79175946922805,"Industry",0,"International only","Drug","Infectious Disease",883,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2220","NCT02391571","Phase 3",3.25809653802148,"Less than or equal to three","False","Non-NME","Randomized","Parallel Assignment","Not Treatment","Triple or quadruple","TRUE","FALSE","TRUE","TRUE","0","0","0",0,"Industry",0,"U.S.A. only","Drug","Neurology",31,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2221","NCT02391116","Phase 2",4.20469261939097,"Less than or equal to three","False","NME","Other","Single Group Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","0","0","0",2.484906649788,"Industry",0,"International only","Drug","Oncology",987,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2222","NCT02390882","Phase 3",6.20253551718792,"Less than or equal to three","False","Non-NME","Randomized","Parallel Assignment","Treatment","Double","TRUE","FALSE","TRUE","FALSE","1","0","0",0,"Industry",0,"International only","Drug","Urology",273,"Monotherapy","N","N","No","No","No","No","No","1-3","1-2"
"2223","NCT02390219","Phase 3",3.8286413964891,"Less than or equal to three","False","NME","Other","Single Group Assignment","Treatment","None","FALSE","FALSE","FALSE","FALSE","0","0","0",0,"Industry",0,"U.S.A. only","Drug","Respiratory",580,"Monotherapy","N","N","Yes","Yes","No","No","No","1-3","1-2"
